card_ID;card_name;expansion_name;rarity
1;Skyshroud Claim;Battlebond;Common
3;Impulse;Battlebond;Common
4;Zndrsplt, Eye of Wisdom;Battlebond;Rare
5;Chain Lightning;Battlebond;Uncommon
5;Stolen Strategy;Battlebond;Rare
6;Azra Oddsmaker;Battlebond;Uncommon
7;Peregrine Drake;Battlebond;Uncommon
8;Warrior Token (White 1/1);Battlebond;Token
9;Fertile Ground;Battlebond;Common
10;Okaun, Eye of Chaos;Battlebond;Rare
11;Spellseeker;Battlebond;Rare
12;Toothy, Imaginary Friend;Battlebond;Rare
13;Mindblade Render;Battlebond;Rare
14;Sylvia Brightspear;Battlebond;Rare
