date_ID;day;month;year;day_of_week;time
1;28;06;2021;0;11:49
2;28;06;2021;0;12:47
3;28;06;2021;0;12:56
4;28;06;2021;0;13:30
5;28;06;2021;0;16:10
6;28;06;2021;0;16:11
7;28;06;2021;0;16:12
8;28;06;2021;0;16:13
9;28;06;2021;0;16:14
10;28;06;2021;0;16:15
11;28;06;2021;0;16:16
12;28;06;2021;0;16:27
13;28;06;2021;0;16:33
14;28;06;2021;0;16:41
15;28;06;2021;0;16:49
16;28;06;2021;0;20:41
17;28;06;2021;0;20:43
18;28;06;2021;0;20:44
19;28;06;2021;0;20:48
20;28;06;2021;0;20:49
21;28;06;2021;0;20:59
22;28;06;2021;0;21:06
23;28;06;2021;0;21:08
24;28;06;2021;0;21:11
25;28;06;2021;0;21:13
26;28;06;2021;0;22:30
27;29;06;2021;1;01:41
28;29;06;2021;1;01:42
29;29;06;2021;1;01:45
30;29;06;2021;1;01:48
31;29;06;2021;1;01:50
32;29;06;2021;1;01:51
33;29;06;2021;1;01:52
34;29;06;2021;1;01:58
35;29;06;2021;1;02:05
36;29;06;2021;1;02:07
