seller_ID;price;card_ID;card_condition;language;is_foiled;amount;date_ID
PartyNator;0.12;Skyshroud Claim;Near Mint;English;False;1;1
CValle;0.15;Skyshroud Claim;Mint;English;False;1;1
MarcoSanzin;0.20;Skyshroud Claim;Near Mint;English;False;1;1
MagicBivio;0.20;Skyshroud Claim;Near Mint;English;False;1;1
Tezzeret84;0.25;Skyshroud Claim;Excellent;S-Chinese;False;1;1
Lordburka;0.25;Skyshroud Claim;Near Mint;English;False;1;1
Lanowar69;0.29;Skyshroud Claim;Near Mint;English;False;1;1
Topdeckskills;0.30;Skyshroud Claim;Near Mint;English;False;1;1
magicpartcard;0.30;Skyshroud Claim;Near Mint;English;False;4;1
stanislaf;0.30;Skyshroud Claim;Near Mint;English;False;1;1
Thrymiir;0.30;Skyshroud Claim;Near Mint;English;False;1;1
daidojilaurent;0.33;Skyshroud Claim;Near Mint;English;False;2;1
sovmar;0.35;Skyshroud Claim;Near Mint;English;False;1;1
Ceribe;0.35;Skyshroud Claim;Near Mint;S-Chinese;False;3;1
Felixuco;0.35;Skyshroud Claim;Near Mint;English;False;2;1
Richaardi;0.35;Skyshroud Claim;Near Mint;English;False;1;1
diddos;0.36;Skyshroud Claim;Near Mint;English;False;9;1
dakkon87;0.37;Skyshroud Claim;Near Mint;English;False;8;1
Mirikov;0.37;Skyshroud Claim;Excellent;English;False;1;1
CommanderStaples;0.38;Skyshroud Claim;Near Mint;English;False;1;1
BechaMecha;0.39;Skyshroud Claim;Near Mint;English;False;1;1
MadridMagic;0.40;Skyshroud Claim;Near Mint;English;False;18;1
DombekTorun;0.40;Skyshroud Claim;Near Mint;English;False;1;1
BaukeS;0.40;Skyshroud Claim;Near Mint;English;False;3;1
plkfd;0.40;Skyshroud Claim;Near Mint;English;False;7;1
quasimoto;0.40;Skyshroud Claim;Near Mint;English;False;1;1
Zoocomics;0.40;Skyshroud Claim;Good;English;False;1;1
MTG-Prime;0.40;Skyshroud Claim;Excellent;English;False;1;1
FrankvdWaals;0.40;Skyshroud Claim;Near Mint;English;False;7;1
GunCha;0.40;Skyshroud Claim;Near Mint;English;False;3;1
hobbitfred;0.40;Skyshroud Claim;Near Mint;English;False;1;1
Tyron-Heartz;0.40;Skyshroud Claim;Near Mint;English;False;1;1
cultus;0.40;Skyshroud Claim;Near Mint;English;False;2;1
bendu71;0.40;Skyshroud Claim;Near Mint;English;False;5;1
Kungfupeet;0.41;Skyshroud Claim;Near Mint;English;False;1;1
TheCoonRises;0.44;Skyshroud Claim;Excellent;English;False;32;1
kARNN;0.44;Skyshroud Claim;Near Mint;English;False;2;1
RedDragonMagic;0.45;Skyshroud Claim;Near Mint;English;False;4;1
fuxxi;0.45;Skyshroud Claim;Excellent;English;False;1;1
maglaf88;0.45;Skyshroud Claim;Light Played;English;False;1;1
antonio-muenster;0.45;Skyshroud Claim;Mint;English;False;7;1
Dinis;0.45;Skyshroud Claim;Near Mint;English;False;3;1
Akroma44;0.45;Skyshroud Claim;Near Mint;English;False;2;1
38Shizo;0.45;Skyshroud Claim;Near Mint;English;False;3;1
Matze-KungFury;0.45;Skyshroud Claim;Near Mint;English;False;1;1
pantufas;0.45;Skyshroud Claim;Excellent;English;False;1;1
Loui0;0.45;Skyshroud Claim;Near Mint;English;False;1;1
tennlos;0.46;Skyshroud Claim;Mint;English;False;1;1
MagicNexus;0.47;Skyshroud Claim;Near Mint;English;False;4;1
SimonJack88;0.47;Skyshroud Claim;Mint;English;False;1;1
JohnWizard;0.47;Skyshroud Claim;Near Mint;English;False;2;1
Rarehuntershop;0.48;Skyshroud Claim;Near Mint;English;False;4;1
CardStoreAlcamo;0.48;Skyshroud Claim;Excellent;English;False;4;1
Brenag;0.48;Skyshroud Claim;Near Mint;English;False;1;1
Magicdealer-patte-de;0.49;Skyshroud Claim;Near Mint;English;False;4;1
Magicshop2000;0.49;Skyshroud Claim;Good;English;False;1;1
DiamondValley;0.49;Skyshroud Claim;Near Mint;English;False;2;1
maglaf88;0.49;Skyshroud Claim;Good;English;False;1;1
Kartenkoenig;0.49;Skyshroud Claim;Near Mint;English;False;26;1
Zaki23;0.49;Skyshroud Claim;Near Mint;English;False;4;1
kfranklin12;0.49;Skyshroud Claim;Excellent;English;False;2;1
