16:41:05: Date [28/06/2021 16:41] added: date_ID=14
16:41:05: Another run logged to this file16:41:05: Opening the webdriver
16:41:09: Webdriver ready
16:41:09: Database connection established
16:41:10: URL change  ->  https://www.cardmarket.com/en/Magic/Products/Singles/Battlebond?site=1
16:41:10: Sleeping for 0.6916277864107834 seconds
16:41:11: URL change  ->  https://www.cardmarket.com/en/Magic/Products/Singles/Battlebond?site=2
16:41:11: Sleeping for 0.48280861986637547 seconds
16:41:12: URL change  ->  https://www.cardmarket.com/en/Magic/Products/Singles/Battlebond?site=3
16:41:12: Sleeping for 0.7507762730394049 seconds
16:41:14: URL change  ->  https://www.cardmarket.com/en/Magic/Products/Singles/Battlebond?site=4
16:41:14: Sleeping for 0.5353276937165004 seconds
16:41:15: URL change  ->  https://www.cardmarket.com/en/Magic/Products/Singles/Battlebond?site=5
16:41:15: Sleeping for 0.5333713697749882 seconds
16:41:16: URL change  ->  https://www.cardmarket.com/en/Magic/Products/Singles/Battlebond?site=6
16:41:16: Sleeping for 0.46893008517183465 seconds
16:41:18: URL change  ->  https://www.cardmarket.com/en/Magic/Products/Singles/Battlebond?site=7
16:41:18: Sleeping for 0.8597801843956924 seconds
16:41:19: URL change  ->  https://www.cardmarket.com/en/Magic/Products/Singles/Battlebond?site=8
16:41:19: Sleeping for 0.7070611618473656 seconds
16:41:21: URL change  ->  https://www.cardmarket.com/en/Magic/Products/Singles/Battlebond?site=9
16:41:21: Sleeping for 0.4983782834161109 seconds
16:41:22: URL change  ->  https://www.cardmarket.com/en/Magic/Products/Singles/Battlebond?site=10
16:41:22: Sleeping for 0.4709443539219448 seconds
16:41:23: URL change  ->  https://www.cardmarket.com/en/Magic/Products/Singles/Battlebond?site=11
16:41:23: Sleeping for 0.5755055578172324 seconds
16:41:24: URL change  ->  https://www.cardmarket.com/en/Magic/Products/Singles/Battlebond?site=12
16:41:24: Sleeping for 0.5338756711050394 seconds
16:41:25: URL change  ->  https://www.cardmarket.com/en/Magic/Products/Singles/Battlebond?site=13
16:41:25: Sleeping for 0.5714534761165154 seconds
16:41:26: URL change  ->  https://www.cardmarket.com/en/Magic/Products/Singles/Battlebond?site=14
16:41:26: Sleeping for 0.5381141090795859 seconds
16:41:27: URL change  ->  https://www.cardmarket.com/en/Magic/Products/Singles/Battlebond?site=15
16:41:27: Last page reached
16:41:27: Sleeping for 1.662175195376354 seconds
16:41:29: URL change  ->  https://www.cardmarket.com/en/Magic/Products/Singles/Battlebond/Skyshroud-Claim
